sku,nombre,descripcion,categoria_nivel1,categoria_nivel2,categoria_nivel3,categoria_nivel4,precio,stock,descuento,marca,producto_padre_id,tipo_variante,valor_variante
FAR-001662,Farmoderma Multivitamínico adultos 24 comprimidos masticables,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,10.27,Yes,0,Farmoderma,PADRE-00388,presentacion,24 comprimidos masticables
FAR-002155,Bruma Salud Vitamina C forte 1000mg 20 comprimidos efervescentes,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,18.79,No,0,Bruma Salud,PADRE-00372,presentacion,1000mg 20 comprimidos efervescentes
FAR-002734,Aliviax Champú anticaspa 250ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,9.57,Yes,30,Aliviax,PADRE-00663,presentacion,250ml
FAR-000848,Cronos Pharma Champú anticaspa 250ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,5.79,Yes,0,Cronos Pharma,PADRE-00674,presentacion,250ml
FAR-002454,MediCare Plus Champú anticaspa 500ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,10.09,Yes,5,MediCare Plus,PADRE-00669,presentacion,500ml
FAR-001005,Nortfarma Omeprazol sobres 250ml,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,16.28,Yes,20,Nortfarma,PADRE-00187,presentacion,sobres 250ml
FAR-003808,MediCare Plus Ácido acetilsalicílico 1g 12 comprimidos efervescentes,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,4.86,Yes,20,MediCare Plus,PADRE-00040,presentacion,1g 12 comprimidos efervescentes
FAR-003541,MediCare Plus Bicarbonato 20 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,14.63,Yes,25,MediCare Plus,PADRE-00176,presentacion,20 comprimidos masticables
FAR-001638,Botica Real Cetirizina gotas 20ml,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,7.12,Yes,0,Botica Real,PADRE-00213,presentacion,gotas 20ml
FAR-004864,Salutia Magnesio con vitamina B6 sobres 20 unidades,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,17.36,Yes,40,Salutia,PADRE-00455,presentacion,sobres 20 unidades
FAR-003969,Cronos Pharma Toallitas dermo eco 60 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,8.68,Yes,0,Cronos Pharma,PADRE-01087,presentacion,eco 60 unidades
FAR-004577,Aliviax Cetirizina gotas 20ml,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,2.29,Yes,30,Aliviax,PADRE-00225,presentacion,gotas 20ml
FAR-001370,"Bruma Salud Pañal aqua pure talla 2, 44 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,20.05,Yes,0,Bruma Salud,PADRE-01044,presentacion,"talla 2, 44 unidades"
FAR-000350,Bruma Salud Hidratante piel atópica crema 400ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,11.05,Yes,0,Bruma Salud,PADRE-00574,presentacion,crema 400ml
FAR-004888,PuntoFarma Colutorio encías encías sensibles 250ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,2.30,Yes,0,PuntoFarma,PADRE-00989,presentacion,encías sensibles 250ml
FAR-003270,Salutia Agua de mar spray 20ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,17.67,Yes,40,Salutia,PADRE-00290,presentacion,spray 20ml
FAR-000208,Farmalia Magaldrato 30 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,9.81,Yes,0,Farmalia,PADRE-00158,presentacion,30 comprimidos masticables
FAR-003510,Vitaxel Bicarbonato 20 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,9.96,Yes,0,Vitaxel,PADRE-00166,presentacion,20 comprimidos masticables
FAR-003175,Botica Real Hidratante piel atópica loción 250ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,6.22,Yes,0,Botica Real,PADRE-00580,presentacion,loción 250ml
FAR-000588,Bienestar Plus Jarabe pectoral infantil 100ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,7.83,Yes,30,Bienestar Plus,PADRE-00134,presentacion,infantil 100ml
FAR-002406,Farmoderma Multivitamínico deportistas 60 cápsulas,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,22.29,Yes,0,Farmoderma,PADRE-00421,presentacion,60 cápsulas
FAR-004082,Farmoderma Agua oxigenada spray 60ml,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,12.55,Yes,0,Farmoderma,PADRE-00752,presentacion,spray 60ml
FAR-001999,Nortfarma Venda elástica 8cm x 4m,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,8.04,Yes,0,Nortfarma,PADRE-01166,presentacion,8cm x 4m
FAR-002959,MediCare Plus Oximetazolina infantil spray 15ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,16.74,Yes,0,MediCare Plus,PADRE-00311,presentacion,infantil spray 15ml
FAR-000708,Salutia Solar deportistas SPF50 crema facial 50ml,Protege la piel frente a la radiación UVA/UVB.,Farmacia,Cuidado personal,Protección solar,Protector solar,23.02,Yes,30,Salutia,PADRE-00655,presentacion,SPF50 crema facial 50ml
FAR-004949,Farmalia Vitamina C liposomal 500mg 30 comprimidos,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,12.08,Yes,0,Farmalia,PADRE-00352,presentacion,500mg 30 comprimidos
FAR-000795,Nortfarma Colutorio encías 500ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,9.45,Yes,0,Nortfarma,PADRE-00976,presentacion,500ml
FAR-003576,Norvital Hidratante piel atópica crema 400ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,19.29,Yes,0,Norvital,PADRE-00585,presentacion,crema 400ml
FAR-000090,Bruma Salud Jarabe pectoral 200ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,12.10,Yes,20,Bruma Salud,PADRE-00122,presentacion,200ml
FAR-004460,Vitalnova Hidratante intensiva loción 250ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,24.59,Yes,15,Vitalnova,PADRE-00570,presentacion,loción 250ml
FAR-003061,Herbolar Agua de mar solución salina 100ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,13.48,Yes,0,Herbolar,PADRE-00291,presentacion,solución salina 100ml
FAR-003000,Vitalnova Vitamina C forte goma de mascar 60 unidades,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,24.40,Yes,0,Vitalnova,PADRE-00365,presentacion,goma de mascar 60 unidades
FAR-000978,MediCare Plus Magaldrato suspensión oral 200ml,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,13.70,Yes,5,MediCare Plus,PADRE-00156,presentacion,suspensión oral 200ml
FAR-001291,Nortfarma Pasta blanqueante 125ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,5.30,Yes,15,Nortfarma,PADRE-00899,presentacion,125ml
FAR-000488,Vitaxel Gel purificante loción 100ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,7.51,Yes,0,Vitaxel,PADRE-01103,presentacion,loción 100ml
FAR-000983,Vitaxel Pasta infantil sensitive 75ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,9.12,Yes,0,Vitaxel,PADRE-00938,presentacion,sensitive 75ml
FAR-004372,PuntoFarma Vitamina C forte 1000mg 10 sobres,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,10.85,Yes,20,PuntoFarma,PADRE-00362,presentacion,1000mg 10 sobres
FAR-001335,Aliviax Vitamina D3 2000ui gotas 15ml,Contribuye a la absorción normal de calcio y al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina D,Vitamina D en gotas,28.38,Yes,0,Aliviax,PADRE-00499,presentacion,2000ui gotas 15ml
FAR-002732,MediCare Plus Loratadina 10mg 20 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,7.45,Yes,50,MediCare Plus,PADRE-00201,presentacion,10mg 20 comprimidos
FAR-001012,Botica Real Hidratante clásica crema 200ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,22.71,No,0,Botica Real,PADRE-00541,presentacion,crema 200ml
FAR-000006,Cronos Pharma Bicarbonato 20 comprimidos masticables,Neutraliza el exceso de ácido estomacal.,Farmacia,Medicamentos sin receta,Antiácidos,Antiácido oral,14.87,Yes,0,Cronos Pharma,PADRE-00173,presentacion,20 comprimidos masticables
FAR-001000,Salutia Vitamina C liposomal goma de mascar 60 unidades,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,25.33,Yes,0,Salutia,PADRE-00348,presentacion,goma de mascar 60 unidades
FAR-003580,Vitaxel Difenhidramina 10mg 20 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,2.55,Yes,30,Vitaxel,PADRE-00240,presentacion,10mg 20 comprimidos
FAR-004259,Farmalia Solar facial SPF50 crema facial 50ml,Protege la piel frente a la radiación UVA/UVB.,Farmacia,Cuidado personal,Protección solar,Protector solar,18.52,Yes,20,Farmalia,PADRE-00617,presentacion,SPF50 crema facial 50ml
FAR-003557,Salutia Solar infantil SPF50 crema facial 50ml,Protege la piel frente a la radiación UVA/UVB.,Farmacia,Cuidado personal,Protección solar,Protector solar,22.03,Yes,0,Salutia,PADRE-00638,presentacion,SPF50 crema facial 50ml
FAR-004955,"Bienestar Plus Pañal active dry talla 2, 44 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,9.06,Yes,30,Bienestar Plus,PADRE-01034,presentacion,"talla 2, 44 unidades"
FAR-001472,Nortfarma Ácido acetilsalicílico 650mg 10 sobres,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,16.48,Yes,0,Nortfarma,PADRE-00045,presentacion,650mg 10 sobres
FAR-004891,Nortfarma Jarabe balsámico infantil 100ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,17.52,Yes,0,Nortfarma,PADRE-00090,presentacion,infantil 100ml
FAR-000379,Aliviax Magnesio bisglicinato sobres 20 unidades,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,26.71,Yes,10,Aliviax,PADRE-00493,presentacion,sobres 20 unidades
FAR-000916,Salutia Ácido acetilsalicílico 500mg 16 comprimidos recubiertos,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,14.48,Yes,0,Salutia,PADRE-00042,presentacion,500mg 16 comprimidos recubiertos
FAR-002890,"Botica Real Pañal aqua pure talla 5, 34 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,17.96,Yes,10,Botica Real,PADRE-01043,presentacion,"talla 5, 34 unidades"
FAR-004509,Aliviax Colutorio encías 500ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,4.23,Yes,0,Aliviax,PADRE-00984,presentacion,500ml
FAR-004922,Bienestar Plus Muñequera de compresión coderas talla M,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,7.23,No,5,Bienestar Plus,PADRE-01194,presentacion,coderas talla M
FAR-001584,Bruma Salud Espuma limpiadora loción 100ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,24.36,Yes,0,Bruma Salud,PADRE-01139,presentacion,loción 100ml
FAR-004173,Aliviax Pasta blanqueante 125ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,7.84,Yes,0,Aliviax,PADRE-00893,presentacion,125ml
FAR-000084,PuntoFarma Pasta blanqueante sensitive 75ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,7.61,Yes,40,PuntoFarma,PADRE-00887,presentacion,sensitive 75ml
FAR-004900,Nortfarma Solar facial SPF50 200ml,Protege la piel frente a la radiación UVA/UVB.,Farmacia,Cuidado personal,Protección solar,Protector solar,4.55,Yes,30,Nortfarma,PADRE-00618,presentacion,SPF50 200ml
FAR-001117,PuntoFarma Paracetamol 650mg 10 sobres,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,7.78,Yes,0,PuntoFarma,PADRE-00010,presentacion,650mg 10 sobres
FAR-004694,Nortfarma Loción antiimperfecciones gel 200ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,19.89,No,0,Nortfarma,PADRE-01141,presentacion,gel 200ml
FAR-001378,PuntoFarma Toallitas aqua pack 3x72 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,11.40,Yes,0,PuntoFarma,PADRE-01080,presentacion,pack 3x72 unidades
FAR-001415,Botica Real Apósito transpirable caja 20 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,1.58,Yes,20,Botica Real,PADRE-00825,presentacion,caja 20 unidades
FAR-003545,Vitalnova Hidratante piel atópica loción 250ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,14.72,No,30,Vitalnova,PADRE-00579,presentacion,loción 250ml
FAR-001223,Vitalnova Toallitas dermo 84 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,16.13,Yes,0,Vitalnova,PADRE-01081,presentacion,84 unidades
FAR-001708,"Cronos Pharma Pañal sensitive talla 4, 38 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,11.86,Yes,0,Cronos Pharma,PADRE-01016,presentacion,"talla 4, 38 unidades"
FAR-004723,Bruma Salud Pasta blanqueante sensitive 75ml,Limpieza diaria y protección frente a la caries.,Farmacia,Higiene bucal,Pasta dental,Pasta dentífrica,9.91,Yes,10,Bruma Salud,PADRE-00898,presentacion,sensitive 75ml
FAR-002219,Bienestar Plus Champú suave 500ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,16.02,Yes,0,Bienestar Plus,PADRE-00694,presentacion,500ml
FAR-000871,Norvital Champú anticaspa 250ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,10.52,Yes,0,Norvital,PADRE-00665,presentacion,250ml
FAR-004250,Herbolar Loratadina 10mg 20 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,13.41,Yes,0,Herbolar,PADRE-00210,presentacion,10mg 20 comprimidos
FAR-003452,"Salutia Pañal aqua pure talla 2, 44 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,19.52,Yes,0,Salutia,PADRE-01046,presentacion,"talla 2, 44 unidades"
FAR-002317,Bienestar Plus Difenhidramina 10mg 20 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,16.27,Yes,25,Bienestar Plus,PADRE-00230,presentacion,10mg 20 comprimidos
FAR-003487,Farmalia Ácido acetilsalicílico 650mg 10 sobres,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,5.61,Yes,0,Farmalia,PADRE-00032,presentacion,650mg 10 sobres
FAR-003059,Bruma Salud Loción antiimperfecciones gel 150ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,28.30,Yes,25,Bruma Salud,PADRE-01149,presentacion,gel 150ml
FAR-002603,Botica Real Hidratante urea crema 200ml,Hidrata y nutre la piel seca en profundidad.,Farmacia,Cuidado personal,Cremas hidratantes,Crema corporal,13.20,Yes,20,Botica Real,PADRE-00588,presentacion,crema 200ml
FAR-002902,MediCare Plus Champú anticaída 400ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,22.62,Yes,0,MediCare Plus,PADRE-00720,presentacion,400ml
FAR-001815,Norvital Suero fisiológico infantil spray 15ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,11.35,Yes,40,Norvital,PADRE-00256,presentacion,infantil spray 15ml
FAR-002206,Vitaxel Magnesio 500mg 60 comprimidos,Contribuye al funcionamiento normal muscular y nervioso.,Farmacia,Vitaminas y suplementos,Magnesio,Magnesio en comprimidos,15.64,No,0,Vitaxel,PADRE-00437,presentacion,500mg 60 comprimidos
FAR-001224,Vitalnova Toallitas dermo sensitive 60 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,21.32,Yes,0,Vitalnova,PADRE-01081,presentacion,sensitive 60 unidades
FAR-004417,Bruma Salud Apósito resistente al agua caja 40 unidades,Protege heridas leves y favorece la cicatrización.,Farmacia,Primeros auxilios,Vendajes,Apósito adhesivo,2.25,Yes,0,Bruma Salud,PADRE-00808,presentacion,caja 40 unidades
FAR-000910,Farmalia Loratadina gotas 20ml,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,8.42,Yes,0,Farmalia,PADRE-00206,presentacion,gotas 20ml
FAR-001441,"Bienestar Plus Pañal aqua pure talla 3, 42 unidades",Máxima absorción y suavidad para la piel del bebé.,Farmacia,Cuidado del bebé,Pañales,Pañal infantil,14.92,Yes,5,Bienestar Plus,PADRE-01036,presentacion,"talla 3, 42 unidades"
FAR-002811,Farmoderma Termómetro infantil infantil 1 unidad,Mide la temperatura corporal de forma rápida y precisa.,Farmacia,Primeros auxilios,Termómetros,Termómetro digital,2.13,Yes,0,Farmoderma,PADRE-00885,presentacion,infantil 1 unidad
FAR-004904,PuntoFarma Multivitamínico senior 24 comprimidos masticables,Complemento alimenticio con vitaminas y minerales esenciales.,Farmacia,Vitaminas y suplementos,Multivitamínicos,Complejo multivitamínico,31.26,Yes,40,PuntoFarma,PADRE-00405,presentacion,24 comprimidos masticables
FAR-002920,Farmoderma Toallitas sensitive pack 3x72 unidades,Limpieza suave y respetuosa con la piel del bebé.,Farmacia,Cuidado del bebé,Toallitas,Toallitas húmedas,8.00,Yes,20,Farmoderma,PADRE-01054,presentacion,pack 3x72 unidades
FAR-004448,Bruma Salud Vitamina C liposomal 500mg 30 comprimidos,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,12.83,Yes,0,Bruma Salud,PADRE-00346,presentacion,500mg 30 comprimidos
FAR-002772,Herbolar Champú suave 300ml,Limpia el cabello y cuida el cuero cabelludo.,Farmacia,Cuidado personal,Cuidado capilar,Champú,16.83,Yes,10,Herbolar,PADRE-00697,presentacion,300ml
FAR-003507,MediCare Plus Vitamina C liposomal 1000mg 10 sobres,Refuerza las defensas y contribuye al sistema inmunitario.,Farmacia,Vitaminas y suplementos,Vitamina C,Vitamina C efervescente,6.15,Yes,30,MediCare Plus,PADRE-00354,presentacion,1000mg 10 sobres
FAR-000351,Vitalnova Ácido acetilsalicílico 500mg 16 comprimidos recubiertos,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,2.14,Yes,30,Vitalnova,PADRE-00033,presentacion,500mg 16 comprimidos recubiertos
FAR-001654,Norvital Ibuprofeno 650mg 10 sobres,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,13.01,No,0,Norvital,PADRE-00018,presentacion,650mg 10 sobres
FAR-003730,Nortfarma Oximetazolina spray 20ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,11.74,Yes,0,Nortfarma,PADRE-00303,presentacion,spray 20ml
FAR-003860,Salutia Agua oxigenada spray 100ml,Desinfecta heridas superficiales y previene infecciones.,Farmacia,Primeros auxilios,Antisépticos,Antiséptico tópico,6.01,Yes,0,Salutia,PADRE-00764,presentacion,spray 100ml
FAR-003996,Botica Real Loción antiimperfecciones crema noche 50ml,Ayuda a controlar el exceso de grasa y las imperfecciones.,Farmacia,Dermocosmética,Antiacné,Gel facial,24.82,Yes,0,Botica Real,PADRE-01148,presentacion,crema noche 50ml
FAR-004288,Vitaxel Paracetamol 500mg 16 comprimidos recubiertos,Alivia el dolor leve a moderado y reduce la fiebre.,Farmacia,Medicamentos sin receta,Analgésicos,Analgésico oral,10.57,Yes,20,Vitaxel,PADRE-00006,presentacion,500mg 16 comprimidos recubiertos
FAR-000808,Aliviax Ebastina 10mg 20 comprimidos,Alivia los síntomas de alergia como estornudos y picor.,Farmacia,Medicamentos sin receta,Antihistamínicos,Antihistamínico oral,17.57,Yes,0,Aliviax,PADRE-00246,presentacion,10mg 20 comprimidos
FAR-002412,Vitaxel Muñequera de compresión muñequera talla L,Proporciona sujeción y compresión en esguinces y molestias musculares.,Farmacia,Ortopedia,Vendajes elásticos,Venda elástica,11.99,Yes,0,Vitaxel,PADRE-01188,presentacion,muñequera talla L
FAR-002538,Botica Real Suero fisiológico spray 20ml,Descongestiona la nariz y facilita la respiración.,Farmacia,Medicamentos sin receta,Descongestionantes,Spray nasal,3.00,Yes,0,Botica Real,PADRE-00257,presentacion,spray 20ml
FAR-003035,Nortfarma Jarabe seco sin azúcar 150ml,Calma la tos seca e irritativa.,Farmacia,Medicamentos sin receta,Antitusivos,Jarabe para la tos,14.41,Yes,0,Nortfarma,PADRE-00113,presentacion,sin azúcar 150ml
FAR-001724,MediCare Plus Colutorio sin alcohol 500ml,Refresca el aliento y complementa el cepillado diario.,Farmacia,Higiene bucal,Enjuague bucal,Colutorio,10.28,Yes,0,MediCare Plus,PADRE-00967,presentacion,500ml
