sku,nombre,descripcion,categoria_nivel1,categoria_nivel2,categoria_nivel3,categoria_nivel4,precio,stock,descuento,marca
ALI-000247,Zumo de naranja pack 6 unidades,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,21.49,Yes,0,Sabor Norte
ALI-000576,Yogur natural con bífidus,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,10.82,Yes,10,La Tahona Azul
ALI-000536,Helado de vainilla tarrina 1L,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,4.65,Yes,0,Nutrivida
ELE-000040,Ventilador de torre bajo consumo,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,392.87,Yes,0,Confort Total
ALI-000062,Manzanas Fuji,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,10.81,Yes,20,Nutrivida
ALI-000573,Pan integral sin corteza,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,25.19,Yes,0,Campo Fresco
ROP-000210,Camiseta infantil estampada pack 2 unidades,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,74.00,Yes,0,SolTejido
ELE-000285,Ventilador de torre con temporizador,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,1461.62,Yes,50,Electra Norte
ROP-000114,Gorro de punto unisex,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,72.79,Yes,0,Estilo Urbano
ROP-000028,Bufanda de lana de punto grueso,"Bufanda cálida tejida en lana suave, ideal para el invierno.",Ropa,Accesorios,Bufandas,Bufanda de lana,87.59,Yes,0,Estilo Urbano
JOY-000108,Anillo ajustable con piedra natural,"Anillo de plata de talla ajustable, cómodo para uso diario.",Joyería,Anillos,Anillos de plata,Anillo ajustable,1785.62,Yes,0,Joyas del Valle
ELE-000145,Horno eléctrico con grill,Horno con distribución uniforme del calor y múltiples funciones de cocinado.,Electrodomésticos,Cocina,Hornos,Horno eléctrico,920.88,Yes,0,Impulso Hogar
ALI-000456,Yogur natural pack 4 unidades,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,24.94,Yes,0,Grano de Oro
ROP-000692,Pantalón vaquero slim fit,Pantalón vaquero de algodón resistente con corte cómodo.,Ropa,Hombre,Pantalones,Pantalón vaquero,169.31,Yes,0,Costura 21
ALI-000032,Yogur natural griego,Yogur cremoso elaborado con leche fresca y fermentos activos.,Alimentación,Lácteos,Yogures,Yogur natural,24.32,Yes,0,Nutrivida
ALI-000086,Refresco de cola light,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,10.26,Yes,0,Sabores del Sur
ROP-000681,Sujetador con aros blanco,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,53.20,Yes,0,Modaline
ROP-000667,Sudadera sin capucha oversize,"Sudadera básica sin capucha, cómoda y versátil para combinar con cualquier look.",Ropa,Mujer,Sudaderas,Sudadera sin capucha,115.39,Yes,0,SolTejido
ROP-000581,Camiseta infantil estampada rayas,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,71.44,Yes,0,Estilo Urbano
ROP-000131,Camiseta infantil estampada pack 2 unidades,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,187.04,No,0,TelaViva
ROP-000212,Bufanda de lana a cuadros,"Bufanda cálida tejida en lana suave, ideal para el invierno.",Ropa,Accesorios,Bufandas,Bufanda de lana,28.05,Yes,20,UrbanCotto
ALI-000246,Pan integral sin corteza,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,4.58,Yes,0,Verde Cosecha
ELE-000051,Batidora de mano con accesorios,"Batidora versátil pensada para triturar, batir y emulsionar.",Electrodomésticos,Pequeño electrodoméstico,Batidoras,Batidora de mano,97.12,No,15,Vitalux
ELE-000267,Batidora de mano con accesorios,"Batidora versátil pensada para triturar, batir y emulsionar.",Electrodomésticos,Pequeño electrodoméstico,Batidoras,Batidora de mano,286.80,Yes,40,NordLine
ELE-000270,Batidora de mano 600W,"Batidora versátil pensada para triturar, batir y emulsionar.",Electrodomésticos,Pequeño electrodoméstico,Batidoras,Batidora de mano,335.94,Yes,40,Impulso Hogar
ALI-000195,Refresco de cola original,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,19.70,Yes,20,Punto Sabor
ALI-000263,Queso curado mezcla,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,1.79,Yes,0,Campo Fresco
ROP-000039,Abrigo de invierno infantil acolchado,Abrigo cálido y resistente pensado para los meses más fríos.,Ropa,Niños,Abrigos,Abrigo de invierno,51.66,Yes,0,Modaline
ROP-000313,Pantalón vaquero slim fit,Pantalón vaquero de algodón resistente con corte cómodo.,Ropa,Hombre,Pantalones,Pantalón vaquero,28.05,Yes,0,Vestir Norte
JOY-000051,Pendientes de aro minimalistas,"Pendientes ligeros de plata con acabado brillante, fáciles de combinar.",Joyería,Pendientes,Pendientes de plata,Pendientes de aro,607.82,No,0,Metal Noble
ROP-000670,Zapatillas deportivas con memory foam,"Zapatillas ligeras con buena amortiguación, pensadas para uso diario o deporte.",Ropa,Calzado,Zapatillas,Zapatillas deportivas,154.83,Yes,40,Hilo & Forma
ROP-000061,Bufanda de lana a cuadros,"Bufanda cálida tejida en lana suave, ideal para el invierno.",Ropa,Accesorios,Bufandas,Bufanda de lana,56.26,Yes,30,Estilo Urbano
ALI-000076,Manzanas Royal Gala,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,24.29,Yes,0,Campo Fresco
ROP-000641,Bufanda de lana con flecos,"Bufanda cálida tejida en lana suave, ideal para el invierno.",Ropa,Accesorios,Bufandas,Bufanda de lana,176.80,Yes,0,Alta Fibra
ALI-000237,Zumo de naranja sin pulpa,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,21.23,No,60,Punto Sabor
ALI-000293,Helado de vainilla con trozos de chocolate,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,6.72,Yes,0,Punto Sabor
ROP-000085,Gorro de punto térmico,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,151.04,No,0,Prenda Libre
ELE-000126,Secador iónico con difusor,Secador con tecnología iónica que reduce el encrespamiento del cabello.,Electrodomésticos,Cuidado personal,Secadores de pelo,Secador iónico,273.97,No,0,Electra Norte
ROP-000103,Sujetador con aros negro,Sujetador con aros que proporciona sujeción y buen levantamiento.,Ropa,Mujer,Lencería,Sujetador con aros,134.87,Yes,0,Estilo Urbano
ROP-000383,Camiseta básica algodón manga corta blanca,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,170.64,Yes,60,Estilo Urbano
ROP-000395,Vestido largo de lino,"Vestido de corte fluido, tejido ligero y caída favorecedora.",Ropa,Mujer,Vestidos,Vestido largo,39.98,No,0,Vestir Norte
ELE-000168,Horno eléctrico empotrable,Horno con distribución uniforme del calor y múltiples funciones de cocinado.,Electrodomésticos,Cocina,Hornos,Horno eléctrico,1094.47,Yes,15,Electra Norte
ALI-000005,Croissant integral,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,5.09,No,0,Delicia Natural
ALI-000242,Helado de vainilla sin lactosa,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,13.41,Yes,20,Cesta Rústica
ROP-000018,Gorro de punto con pompón,Gorro tejido que abriga sin renunciar al estilo.,Ropa,Accesorios,Gorros,Gorro de punto,78.75,Yes,0,Alta Fibra
ALI-000118,Pan integral multicereales,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,26.25,Yes,0,Sabor Norte
ALI-000110,Tomates rama,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,14.54,Yes,0,Cesta Rústica
ROP-000398,Bota de invierno impermeable,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,104.94,Yes,15,Modaline
JOY-000035,Anillo de compromiso clásico,"Anillo elaborado en oro de alta calidad, acabado pulido y elegante.",Joyería,Anillos,Anillos de oro,Anillo de compromiso,458.24,Yes,0,Gema Pura
ALI-000471,Queso curado mezcla,"Queso elaborado con leche seleccionada, curación tradicional y sabor intenso.",Alimentación,Lácteos,Quesos,Queso curado,15.77,Yes,25,Campo Fresco
ALI-000120,Refresco de cola light,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,2.69,Yes,0,Nutrivida
ROP-000420,Sudadera sin capucha cuello redondo,"Sudadera básica sin capucha, cómoda y versátil para combinar con cualquier look.",Ropa,Mujer,Sudaderas,Sudadera sin capucha,184.49,No,0,Alta Fibra
ALI-000354,Tomates rama,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,25.88,Yes,40,Punto Sabor
ALI-000109,Tomates pera,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,28.47,Yes,50,La Tahona Azul
ROP-000408,Bota de invierno impermeable,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,164.67,No,0,NordVía
ALI-000057,Tomates rama,"Verdura fresca de cultivo controlado, ideal para ensaladas y cocinar.",Alimentación,Frutas y verduras,Verduras frescas,Tomates,4.26,Yes,5,Sabores del Sur
ALI-000649,Zumo de naranja pack 6 unidades,"Zumo elaborado a partir de naranjas seleccionadas, sin azúcares añadidos.",Alimentación,Bebidas,Zumos,Zumo de naranja,6.91,Yes,30,Punto Sabor
ALI-000419,Helado de vainilla tarrina 1L,"Helado cremoso elaborado con vainilla natural, textura suave.",Alimentación,Congelados,Helados,Helado de vainilla,23.18,Yes,0,Sabor Norte
ELE-000080,Ventilador de torre oscilante,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,720.38,Yes,0,Domus Pro
ELE-000192,Cafetera de cápsulas programable,Cafetera práctica que prepara café de calidad en segundos.,Electrodomésticos,Pequeño electrodoméstico,Cafeteras,Cafetera de cápsulas,1033.35,No,15,Domus Pro
ROP-000569,Abrigo de invierno infantil acolchado,Abrigo cálido y resistente pensado para los meses más fríos.,Ropa,Niños,Abrigos,Abrigo de invierno,77.63,Yes,0,Costura 21
ELE-000312,Aspiradora sin cable con batería de larga duración,"Aspiradora inalámbrica de fácil manejo, ideal para limpiezas rápidas.",Electrodomésticos,Limpieza,Aspiradoras,Aspiradora sin cable,63.74,Yes,0,CasaFácil
ROP-000080,Camiseta básica algodón manga corta blanca,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,107.18,No,0,Vestir Norte
ALI-000265,Manzanas Royal Gala,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,25.93,Yes,0,Grano de Oro
ELE-000392,Aspiradora sin cable ligera,"Aspiradora inalámbrica de fácil manejo, ideal para limpiezas rápidas.",Electrodomésticos,Limpieza,Aspiradoras,Aspiradora sin cable,164.15,Yes,0,CasaFácil
JOY-000129,Reloj de pulsera clásico unisex,Reloj de diseño clásico con maquinaria de precisión y acabado elegante.,Joyería,Relojes,Relojes analógicos,Reloj de pulsera clásico,1880.63,Yes,0,Aurea Diseño
ELE-000255,Aire acondicionado Split 1x1 3000 frigorías,Equipo de climatización eficiente con control de temperatura preciso.,Electrodomésticos,Climatización,Aire acondicionado,Split 1x1,553.27,No,0,TecnoCasa
ROP-000310,Sudadera con capucha de algodón orgánico,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,41.95,Yes,0,Hilo & Forma
ALI-000172,Refresco de cola sin azúcar,"Bebida refrescante carbonatada, ideal para acompañar comidas o disfrutar fría.",Alimentación,Bebidas,Refrescos,Refresco de cola,25.87,Yes,60,Campo Fresco
ROP-000444,Bota de invierno antideslizante,"Bota resistente al agua con suela antideslizante, pensada para el frío.",Ropa,Calzado,Botas,Bota de invierno,125.30,Yes,30,Vestir Norte
ROP-000347,Camiseta básica algodón manga corta gris jaspeado,"Camiseta de algodón 100% suave y transpirable, ideal para el día a día.",Ropa,Hombre,Camisetas,Camiseta manga corta,81.89,Yes,10,Estilo Urbano
ROP-000357,Camiseta infantil estampada dinosaurios,Camiseta infantil de algodón suave con estampado divertido.,Ropa,Niños,Camisetas,Camiseta estampada,143.32,Yes,20,Estilo Urbano
ROP-000533,Blusa manga larga con lazo,"Blusa ligera de tacto suave, versátil para looks casuales o de oficina.",Ropa,Mujer,Camisas,Blusa manga larga,14.31,Yes,0,SolTejido
ROP-000506,Bufanda de lana a cuadros,"Bufanda cálida tejida en lana suave, ideal para el invierno.",Ropa,Accesorios,Bufandas,Bufanda de lana,101.10,Yes,0,Estilo Urbano
ALI-000189,Croissant sin gluten,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,22.50,Yes,60,Sabor Norte
ELE-000283,Frigorífico combi 185cm,Frigorífico de gran capacidad con tecnología de enfriamiento eficiente.,Electrodomésticos,Cocina,Frigoríficos,Frigorífico combi,43.96,No,0,Aire Puro
JOY-000107,Collar con colgante iniciales,"Collar de plata con acabado brillante, diseño delicado y atemporal.",Joyería,Collares,Collares de plata,Collar con colgante,1019.05,Yes,0,Plata del Norte
ELE-000287,Secador iónico silencioso,Secador con tecnología iónica que reduce el encrespamiento del cabello.,Electrodomésticos,Cuidado personal,Secadores de pelo,Secador iónico,439.21,Yes,10,Impulso Hogar
ELE-000354,Ventilador de torre bajo consumo,Ventilador de diseño compacto con distintas velocidades de ventilación.,Electrodomésticos,Climatización,Ventiladores,Ventilador de torre,787.56,Yes,0,Domus Pro
JOY-000058,Pulsera trenzada unisex,"Pulsera artesanal trenzada a mano, resistente y de estilo casual.",Joyería,Pulseras,Pulseras de cuero,Pulsera trenzada,1493.81,No,0,Reflejo Fino
ALI-000689,Pan integral sin corteza,"Pan de miga suave elaborado con harina integral, fuente de fibra.",Alimentación,Panadería,Pan de molde,Pan integral,8.91,Yes,0,Sabor Norte
JOY-000148,Collar con colgante minimalista,"Collar de plata con acabado brillante, diseño delicado y atemporal.",Joyería,Collares,Collares de plata,Collar con colgante,757.62,Yes,0,Lumina Joyas
ALI-000044,Manzanas ecológicas,"Fruta fresca de temporada, seleccionada por tamaño y calidad.",Alimentación,Frutas y verduras,Frutas frescas,Manzanas,1.67,Yes,0,Verde Cosecha
ALI-000192,Croissant de mantequilla,"Bollería horneada con receta tradicional, textura hojaldrada.",Alimentación,Panadería,Bollería,Croissant,21.52,Yes,30,Nutrivida
ROP-000428,Sudadera con capucha gris jaspeada,"Sudadera cómoda con capucha y bolsillo canguro, ideal para el día a día.",Ropa,Mujer,Sudaderas,Sudadera con capucha,32.96,Yes,0,NordVía
ROP-000050,Vestido largo con cinturón,"Vestido de corte fluido, tejido ligero y caída favorecedora.",Ropa,Mujer,Vestidos,Vestido largo,151.01,Yes,0,Prenda Libre
